taxid	scientific_name	rank	group	domain	kingdom	phylum	class	order	family	genus	clade	clade_from	lineage
1737061	Pseudohalioglobus lutimaris	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Halieaceae	Pseudohalioglobus	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Halieaceae; Pseudohalioglobus
1737357	Aliirhizobium wenxiniae	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Aliirhizobium	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Aliirhizobium
1737446	Chitinibacter fontanus	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Neisseriales	Chitinibacteraceae	Chitinibacter	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Neisseriales; Chitinibacteraceae; Chitinibacter
1737510	Volvox reticuliferus	species	Viridiplantae	Eukaryota	Viridiplantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Volvocaceae	Volvox	Chlorophyta	phylum	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Chlorophyceae; CS clade; Chlamydomonadales; Volvocaceae; Volvox
1737571	Niallia oryzisoli	species	Bacteria	Bacteria	Bacillati	Bacillota	Bacilli	Caryophanales	Bacillaceae	Niallia	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Bacilli; Caryophanales; Bacillaceae; Niallia
1738132	Roridomyces roridus	species	Fungi	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Roridomyces	Basidiomycota	phylum	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Marasmiineae; Mycenaceae; Roridomyces
1740262	Catenovulum sediminis	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Catenovulum	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Catenovulum
1742688	Hamadaea flava	species	Bacteria	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Hamadaea	Actinomycetota	phylum	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Micromonosporales; Micromonosporaceae; Hamadaea
1745713	Bariatricus massiliensis	species	Bacteria	Bacteria	Bacillati	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Bariatricus	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae; Bariatricus
1745969	Mycena alexandri	species	Fungi	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Basidiomycota	phylum	cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Agaricales; Marasmiineae; Mycenaceae; Mycena
1746090	Anaeramoeba ignava	species	Eukaryota (other)	Eukaryota					Anaeramoebidae	Anaeramoeba	Metamonada	lineage	cellular organisms; Eukaryota; Metamonada; Anaeramoebidae; Anaeramoeba
1746091	Anaeramoeba flamelloides	species	Eukaryota (other)	Eukaryota					Anaeramoebidae	Anaeramoeba	Metamonada	lineage	cellular organisms; Eukaryota; Metamonada; Anaeramoebidae; Anaeramoeba
1748331	Haloferax namakaokahaiae	species	Archaea	Archaea	Methanobacteriati	Methanobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Haloferax	Methanobacteriota	phylum	cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; Stenosarchaea group; Halobacteria; Halobacteriales; Haloferacaceae; Haloferax
