branch_lengths	model	axis	rate	loglik	shape	argmax	at_boundary
ultrametric	ARD	gain	0.316228	-0.066328	monotone increasing	100	1
ultrametric	ARD	gain	0.562341	-0.063119	monotone increasing	100	1
ultrametric	ARD	gain	1	-0.05933	monotone increasing	100	1
ultrametric	ARD	gain	1.77828	-0.054154	monotone increasing	100	1
ultrametric	ARD	gain	3.16228	-0.046939	monotone increasing	100	1
ultrametric	ARD	gain	5.62341	-0.03757	monotone increasing	100	1
ultrametric	ARD	gain	10	-0.026926	monotone increasing	100	1
ultrametric	ARD	gain	17.7828	-0.016915	monotone increasing	100	1
ultrametric	ARD	gain	31.6228	-0.009752	monotone increasing	100	1
ultrametric	ARD	gain	56.2341	-0.005495	monotone increasing	100	1
ultrametric	ARD	gain	100	-0.00309	monotone increasing	100	1
ultrametric	irreversible	loss	1e-06	-6.6e-05	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	1.77828e-06	-0.000117	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	3.16228e-06	-0.000208	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	5.62341e-06	-0.000369	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	1e-05	-0.000657	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	1.77828e-05	-0.001168	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	3.16228e-05	-0.002077	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	5.62341e-05	-0.003694	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	0.0001	-0.006568	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	0.000177828	-0.01168	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	0.000316228	-0.02077	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	0.000562341	-0.036936	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	0.001	-0.065682	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	0.00177828	-0.116801	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	0.00316228	-0.207704	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	0.00562341	-0.369356	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	0.01	-0.656818	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	0.0177828	-1.16801	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	0.0316228	-2.07704	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	0.0562341	-3.69356	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	0.1	-6.56818	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	0.177828	-11.6801	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	0.316228	-20.7704	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	0.562341	-36.9356	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	1	-65.6818	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	1.77828	-116.801	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	3.16228	-207.704	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	5.62341	-369.356	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	10	-656.818	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	17.7828	-1168.01	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	31.6228	-2077.04	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	56.2341	-3693.56	monotone decreasing	1e-06	1
ultrametric	irreversible	loss	100	-6568.18	monotone decreasing	1e-06	1
calibrated	ER	loss	1e-06	-0.726059	monotone decreasing	1e-06	1
calibrated	ER	loss	1.77828e-06	-0.75167	monotone decreasing	1e-06	1
calibrated	ER	loss	3.16228e-06	-0.797207	monotone decreasing	1e-06	1
calibrated	ER	loss	5.62341e-06	-0.878163	monotone decreasing	1e-06	1
calibrated	ER	loss	1e-05	-1.02206	monotone decreasing	1e-06	1
calibrated	ER	loss	1.77828e-05	-1.27772	monotone decreasing	1e-06	1
calibrated	ER	loss	3.16228e-05	-1.73168	monotone decreasing	1e-06	1
calibrated	ER	loss	5.62341e-05	-2.53678	monotone decreasing	1e-06	1
calibrated	ER	loss	0.0001	-3.96158	monotone decreasing	1e-06	1
calibrated	ER	loss	0.000177828	-6.47341	monotone decreasing	1e-06	1
calibrated	ER	loss	0.000316228	-10.8705	monotone decreasing	1e-06	1
calibrated	ER	loss	0.000562341	-18.4679	monotone decreasing	1e-06	1
calibrated	ER	loss	0.001	-31.2734	monotone decreasing	1e-06	1
calibrated	ER	loss	0.00177828	-51.8709	monotone decreasing	1e-06	1
calibrated	ER	loss	0.00316228	-82.2765	monotone decreasing	1e-06	1
calibrated	ER	loss	0.00562341	-120.429	monotone decreasing	1e-06	1
calibrated	ER	loss	0.01	-159.514	monotone decreasing	1e-06	1
calibrated	ER	loss	0.0177828	-193.028	monotone decreasing	1e-06	1
calibrated	ER	loss	0.0316228	-210.409	monotone decreasing	1e-06	1
calibrated	ER	loss	0.0562341	-214.062	monotone decreasing	1e-06	1
calibrated	ER	loss	0.1	-214.182	monotone decreasing	1e-06	1
calibrated	ER	loss	0.177828	-214.182	monotone decreasing	1e-06	1
calibrated	ER	loss	0.316228	-214.182	monotone decreasing	1e-06	1
calibrated	ER	loss	0.562341	-214.182	monotone decreasing	1e-06	1
calibrated	ER	loss	1	-214.182	monotone decreasing	1e-06	1
calibrated	ER	loss	1.77828	-214.182	monotone decreasing	1e-06	1
calibrated	ER	loss	3.16228	-214.182	monotone decreasing	1e-06	1
calibrated	ER	loss	5.62341	-214.182	monotone decreasing	1e-06	1
calibrated	ER	loss	10	-214.182	monotone decreasing	1e-06	1
calibrated	ER	loss	17.7828	-214.182	monotone decreasing	1e-06	1
calibrated	ER	loss	31.6228	-214.182	monotone decreasing	1e-06	1
calibrated	ER	loss	56.2341	-214.182	monotone decreasing	1e-06	1
calibrated	ER	loss	100	-214.182	monotone decreasing	1e-06	1
calibrated	ARD	loss	1e-06	-0.031732	monotone decreasing	1e-06	1
