symbol	ensembl_gene	status
ADRA1B	ENSG00000170214	background
ADRA1D	ENSG00000171873	background
ADRA2A	ENSG00000150594	background
ADRA2B	ENSG00000274286	background
ADRA2C	ENSG00000184160	background
ADRB1	ENSG00000043591	background
ADRB2	ENSG00000169252	background
ADRB3	ENSG00000188778	background
ADRM1	ENSG00000130706	wanted
ADSL	ENSG00000239900	background
ADSS1	ENSG00000185100	wanted
ADSS2	ENSG00000035687	wanted
ADTRP	ENSG00000111863	background
AEBP1	ENSG00000106624	background
AEBP2	ENSG00000139154	background
AEN	ENSG00000181026	background
AFAP1	ENSG00000196526	background
AFAP1-AS1	ENSG00000272620	background
AFAP1L1	ENSG00000157510	background
AFAP1L2	ENSG00000169129	background
AFDN	ENSG00000130396	wanted
AFDN-DT	ENSG00000198221	background
AFF1	ENSG00000172493	background
AFF2	ENSG00000155966	background
AFF2-IT1	ENSG00000223516	background
AFF3	ENSG00000144218	background
AFF4	ENSG00000072364	background
AFF4-DT	ENSG00000272023	background
AFF4P1	ENSG00000249820	background
AFG1L	ENSG00000135537	background
AFG2A	ENSG00000145375	background
AFG2B	ENSG00000171763	background
AFG3L1P	ENSG00000293510	background
AFG3L2	ENSG00000141385	background
AFG3L2P1	ENSG00000253606	background
AFM	ENSG00000079557	background
AFMID	ENSG00000183077	background
AFP	ENSG00000081051	background
AFTPH	ENSG00000119844	wanted
AFTPH-DT	ENSG00000260101	background
AGA	ENSG00000038002	background
AGA-DT	ENSG00000250131	background
AGAP1	ENSG00000157985	background
AGAP1-IT1	ENSG00000235529	background
AGAP10P	ENSG00000230869	background
AGAP11	ENSG00000261011	background
AGAP12P	ENSG00000290898	background
AGAP13P	ENSG00000243289	background
AGAP14P	ENSG00000279058	background
AGAP2	ENSG00000135439	background
AGAP2-AS1	ENSG00000255737	background
AGAP3	ENSG00000133612	background
AGAP4	ENSG00000188234	background
AGAP5	ENSG00000172650	background
AGAP6	ENSG00000204149	background
AGAP7P	ENSG00000264204	background
AGAP9	ENSG00000204172	background
AGBL1	ENSG00000273540	background
AGBL1-AS1	ENSG00000260125	background
AGBL2	ENSG00000165923	wanted
AGBL3	ENSG00000146856	wanted
AGBL4	ENSG00000186094	background
AGBL4-AS1	ENSG00000230114	background
AGBL4-IT1	ENSG00000225623	background
AGBL5	ENSG00000084693	background
AGBL5-AS1	ENSG00000231636	background
AGBL5-IT1	ENSG00000229122	background
AGER	ENSG00000204305	background
AGFG1	ENSG00000173744	background
AGFG2	ENSG00000106351	background
AGGF1	ENSG00000164252	background
AGGF1P1	ENSG00000214273	background
AGGF1P10	ENSG00000282968	background
AGGF1P2	ENSG00000233435	background
AGGF1P3	ENSG00000241532	background
AGGF1P4	ENSG00000261689	background
AGGF1P5	ENSG00000260680	background
AGGF1P6	ENSG00000259836	background
AGGF1P7	ENSG00000260994	background
AGGF1P8	ENSG00000261752	background
AGGF1P9	ENSG00000260427	background
AGK	ENSG00000006530	wanted
AGK-DT	ENSG00000261570	background
AGKP1	ENSG00000226555	background
AGKP2	ENSG00000228819	background
AGL	ENSG00000162688	background
AGMAT	ENSG00000116771	background
AGMO	ENSG00000187546	background
AGO1	ENSG00000092847	wanted
AGO2	ENSG00000123908	background
AGO3	ENSG00000126070	background
AGO4	ENSG00000134698	background
AGPAT1	ENSG00000204310	background
AGPAT2	ENSG00000169692	background
AGPAT3	ENSG00000160216	background
AGPAT4	ENSG00000026652	background
AGPAT5	ENSG00000155189	background
AGPAT5P1	ENSG00000234652	background
AGPS	ENSG00000018510	background
AGR2	ENSG00000106541	background
AGR3	ENSG00000173467	background
AGRN	ENSG00000188157	background
AGRP	ENSG00000159723	background
AGT	ENSG00000135744	wanted
